symbol,date,open,high,low,close,volume,adjusted
LAME4.SA,2018-03-01,16.981853,18.815575,16.184584,18.775711,130498793,18.2771
LAME4.SA,2018-04-01,18.666086,19.911821,17.510044,19.881924,103550035,19.353937
LAME4.SA,2018-05-01,19.881924,20.5895,16.872229,17.709364,95877960,17.239073
LAME4.SA,2018-06-01,17.699396,18.357145,14.012022,16.613115,99649326,16.171934
LAME4.SA,2018-07-01,16.573254,18.815575,16.174618,18.0781,68255297,17.598015
LAME4.SA,2018-08-01,18.0781,19.174347,15.078371,15.546767,98658440,15.133904
LAME4.SA,2018-09-01,15.357416,16.025129,14.181442,15.815846,79948300,15.395839
LAME4.SA,2018-10-01,15.815846,18.735847,15.168064,18.735847,114263093,18.238297
LAME4.SA,2018-11-01,18.715916,19.931753,16.842331,19.642742,102042391,19.121107
LAME4.SA,2018-12-01,19.921787,20.06131,18.755779,19.632776,83994809,19.111404
LAME4.SA,2019-01-01,19.632776,20.998102,19.04479,20.998102,100104977,20.440474
LAME4.SA,2019-02-01,20.878511,21.24725,18.905268,19.84206,99958480,19.389961
LAME4.SA,2019-03-01,19.832094,20.360287,15.267723,16.712774,141576797,16.331974
LAME4.SA,2019-04-01,16.832365,17.131342,14.619941,15.666358,150275176,15.309402
LAME4.SA,2019-05-01,15.666358,16.473595,14.530248,16.084925,123380704,15.718433
LAME4.SA,2019-06-01,16.14472,16.742674,15.257757,16.413799,64484734,16.039814
LAME4.SA,2019-07-01,16.543356,18.187725,15.566699,18.088066,97348772,17.675934
LAME4.SA,2019-08-01,18.237555,19.393597,16.354004,18.666086,136378051,18.240782
LAME4.SA,2019-09-01,18.666086,20.101173,17.669498,19.89189,82196270,19.438658
LAME4.SA,2019-10-01,19.911821,21.516329,18.775711,19.921787,85360567,19.467871
LAME4.SA,2019-11-01,19.852026,22.243837,19.04479,22.203974,89997192,21.698059
LAME4.SA,2019-12-01,22.194008,27.09,22.004656,25.91,111969352,25.319647
LAME4.SA,2020-01-01,25.91,29.32,25.5,27.549999,134085600,27.302166
LAME4.SA,2020-02-01,27.549999,29.334114,24.205633,26.54039,116661856,26.316219
LAME4.SA,2020-03-01,26.440615,28.246557,14.357752,17.959661,258586973,17.807966
LAME4.SA,2020-04-01,17.500692,26.081421,16.85215,24.824244,186379059,24.614569
LAME4.SA,2020-05-01,24.824244,29.034786,23.746664,28.186691,210659670,27.948616
LAME4.SA,2020-06-01,28.486019,33.923805,27.927275,32.107883,220025960,31.836687
LAME4.SA,2020-07-01,32.526943,36.797352,30.770887,34.023582,321376484,33.736206
